label,text
spam,You have 500 unread messages from singles near you!
ham,Did you watch the sustainability game last night? What a finish!
spam,Flash sale! Nintendo Switch at 99% off. Only 50 left in stock!
ham,"This week in product launch: new features, updates, and community highlights."
ham,Join our upcoming webinar on machine learning on Thursday at 11:00 AM.
ham,Receipt for your Instagram purchase of $14.99 on June 25.
ham,Monthly digest: Top blockchain trends and insights for April.
spam,Amazing news! You qualify for a free Samsung Galaxy. Click to get yours today!
ham,FYI: The requirements document has been approved by management.
ham,Congratulations on completing your sustainability certification!
ham,Sending you the recipe you asked for. Let me know how it turns out!
ham,The library will be closed on Sunday for maintenance.
ham,Could you please review the pull request I submitted for the innovation module?
spam,Congratulations Jessica! You've earned a free vacation to Dubai!
ham,The project management lecture has been moved to the cafeteria for this week.
ham,"This week in AI: new features, updates, and community highlights."
ham,Let's schedule a call to discuss the sales project. Are you free Friday?
ham,Can you send me the spreadsheet by end of day? We need it for the client presentation.
ham,"Hi team, the meeting has been rescheduled to 2:30 PM tomorrow. Please update your calendars."
spam,Final notice: Claim your $5000 prize before it expires today!
spam,Cheap Xbox available now. Order today for express delivery!
ham,The cloud computing deployment was successful. No issues reported so far.
spam,Shocking secret the banks don't want you to know! Click to reveal.
ham,The sales lecture has been moved to Google Meet for this week.
ham,Let's schedule a call to discuss the team building project. Are you free Tuesday?
spam,Act now! This offer expires in 6 hours!
ham,Did you watch the engineering game last night? What a finish!
spam,Action required: Confirm your iCloud account details or lose access.
ham,Can you send me the status report by end of day? We need it for the client presentation.
ham,The library will be closed on Sunday for maintenance.
spam,Shocking secret the banks don't want you to know! Click to reveal.
ham,Happy birthday! Wishing you a wonderful year ahead!
spam,Get anti-aging cream delivered to your door. Lowest prices guaranteed!
spam,Work from home and earn $1500/hour! No skills needed.
ham,I've updated the proposal with the latest changes. Please review and approve.
ham,I saw this article about blockchain and thought you might find it interesting.
ham,Did you watch the team building game last night? What a finish!
spam,Hot singles in your area want to meet you! Click here.
ham,Great work on the budget presentation! The client was very impressed.
ham,Our latest blog post on design is now live. Check it out!
ham,Don't forget to call mom today. It's her anniversary.
spam,Last chance! Buy one get one free on all iPad!
spam,Final notice: Claim your $2000 prize before it expires today!
ham,Our latest blog post on customer feedback is now live. Check it out!
ham,I've updated the contract with the latest changes. Please review and approve.
spam,Unsubscribe? You'll miss out on $1000 worth of free gifts!
spam,You're our 3rd lucky winner this month! Win $1500 now.
spam,Get CBD oil delivered to your door. Lowest prices guaranteed!
ham,The machine learning lecture has been moved to the auditorium for this week.
ham,I found a great sales course online. Want to take it together?
ham,The analytics sprint review is scheduled for Friday at 3:00 PM.
ham,I've updated the presentation slides with the latest changes. Please review and approve.
spam,You're our 1st lucky winner this month! Win $10000 now.
ham,Your grade for the engineering course has been posted. Check the portal.
ham,I've updated the quarterly report with the latest changes. Please review and approve.
spam,Your Spotify subscription gift card code: FREEXXXX. Redeem at prize-claim.org/winner.
spam,Your account has been compromised! Verify your identity at tinyurl.com/xyz.
ham,Thanks for dinner last night! We should do it again sometime.
ham,The library will be closed on Wednesday for maintenance.
ham,Your iCloud refund of $19.99 has been processed.
spam,Your package is waiting! Track it at www.deals99.com/grab. Delivery fee: $19.99.
ham,Your Google account has been successfully created. Welcome!
ham,Your Apple account has been successfully created. Welcome!
spam,You have 500 unread messages from singles near you!
spam,WINNER! You've been selected to receive a $50000 gift card. Claim immediately!
spam,Your Chase subscription gift card code: FREEXXXX. Redeem at prize-claim.org/winner.
spam,Your Instagram subscription gift card code: FREEXXXX. Redeem at bit.ly/abc123.
ham,Please find attached the meeting notes for your review. Let me know if you have any questions.
spam,Hot singles in your area want to meet you! Click here.
ham,Join our upcoming webinar on sustainability on Wednesday at 5:00 PM.
spam,Double your income in 30 days! Secret method revealed. Click now.
spam,Lose 25lbs in 21 days! Revolutionary weight loss pill.
spam,Doctor recommended Viagra now available without prescription!
ham,Your iCloud refund of $29.99 has been processed.
spam,Your credit score is excellent! Get a pre-approved $2000 loan now.
spam,Security alert: Unusual login detected on your Chase account. Verify now.
spam,URGENT: You have won a brand new MacBook! Click the link to claim your prize.
ham,Let me know when you're free this weekend. We could go for a hike.
ham,Great work on the analytics presentation! The client was very impressed.
spam,Click here for a surprise gift! You won't believe what's inside!
spam,Get rich quick! Invest $10000 today and earn $100000 tomorrow!
spam,Your credit score is excellent! Get a pre-approved $1000000 loan now.
ham,Happy birthday! Wishing you a wonderful year ahead!
spam,Click here for a surprise gift! You won't believe what's inside!
spam,Amazing news! You qualify for a free camera. Click to get yours today!
spam,Meet beautiful people in your city tonight! Join free at tinyurl.com/xyz.
ham,The exam schedule has been posted on the portal. Check your dates.
spam,Buy anti-aging cream online at 80% discount! No prescription needed.
spam,"Dear user, your iPhone order is ready. Confirm at secure-verify.net/login."
spam,Congratulations! You have won a $5000 prize! Click here to claim now.
spam,"FREE laptop for the first 100 customers! Hurry, limited stock!"
spam,Lose 30lbs in 14 days! Revolutionary weight loss pill.
ham,Your appointment with Dr. Jennifer is confirmed for Monday at 10:00 AM.
